,Pclass,Age,SibSp,Parch,Fare,Sex_female,Sex_male,Cabin_A,Cabin_B,Cabin_C,Cabin_D,Cabin_E,Cabin_F,Cabin_G,Cabin_None,Cabin_T,Embarked_C,Embarked_Missing,Embarked_Q,Embarked_S
715,3,19.0,0,0,7.65,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
525,3,40.5,0,0,7.75,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
381,3,1.0,0,2,15.7417,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
140,3,29.69911764705882,0,2,15.2458,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
173,3,21.0,0,0,7.925,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
6,1,54.0,0,0,51.8625,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
718,3,29.69911764705882,0,0,15.5,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
685,2,25.0,1,2,41.5792,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
73,3,26.0,1,0,14.4542,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
882,3,22.0,0,0,10.5167,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
328,3,31.0,1,1,20.525,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
453,1,49.0,1,0,89.1042,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
145,2,19.0,1,1,36.75,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
234,2,24.0,0,0,10.5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
220,3,16.0,0,0,8.05,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
370,1,25.0,1,0,55.4417,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
811,3,39.0,0,0,24.15,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
132,3,47.0,1,0,14.5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
694,1,60.0,0,0,26.55,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
864,2,24.0,0,0,13.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
185,1,29.69911764705882,0,0,50.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
